0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:28:57 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:28:57 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:29:27 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:29:27 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:30:20 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:30:20 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:31:01 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:31:01 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:31:02 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:31:15 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:31:15 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:40:17 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:40:17 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:42:07 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:42:07 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:42:18 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:42:18 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [15/Dec/2022:16:19:04 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:16:19:04 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [15/Dec/2022:16:19:09 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [15/Dec/2022:16:19:09 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [15/Dec/2022:16:19:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Dec/2022:16:20:02 +0900] "GET /studyhtml5/index.html HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [15/Dec/2022:16:20:02 +0900] "GET /studyhtml5/main.css HTTP/1.1" 404 830
192.168.0.27 - - [15/Dec/2022:16:21:12 +0900] "GET /studyhtml5/index.html HTTP/1.1" 200 724
192.168.0.27 - - [15/Dec/2022:16:21:12 +0900] "GET /studyhtml5/main.css HTTP/1.1" 404 830
192.168.0.27 - - [15/Dec/2022:16:21:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.0.27 - - [15/Dec/2022:16:21:19 +0900] "GET /studyhtml5/ HTTP/1.1" 200 724
192.168.0.27 - - [15/Dec/2022:16:21:19 +0900] "GET /studyhtml5/main.css HTTP/1.1" 404 830
192.168.0.27 - - [15/Dec/2022:16:21:22 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 200 1147
192.168.0.27 - - [15/Dec/2022:16:21:22 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [15/Dec/2022:16:21:53 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:16:24:00 +0900] "GET /studyhtml5/index.html HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [15/Dec/2022:16:24:00 +0900] "GET /studyhtml5/main.css HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [15/Dec/2022:16:32:17 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:16:32:17 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 858
